Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group,Top Offense Type,Address,gcode,lat,long,zipcodes
2012-06-26,2040-2100,2012-06-27,2012,6,12089021,1,600 B/O T St NW,Sexual Orientation,Not Reported,ADW,600  T St NW Washington DC,"600, T Street Northwest, Cardozo/Shaw, Common Good Farm, Washington, District of Columbia, 20001, United States",38.915626,-77.020617,20060
2012-06-27,1843-1845,2012-06-27,2012,6,12089479,3,2800 B/O Georgia Ave NW,Gender Identity/Expression,Not Reported,ADW,2800  Georgia Ave NW Washington DC,"2800, Georgia Avenue Northwest, Pleasant Plains, Washington, District of Columbia, 20059, United States",38.9262032,-77.0230452,20059
2012-06-29,1430,2012-06-29,2012,6,12090516,7,2600 B/O Martin Luther King Jr Ave SE,Sexual Orientation,Not Reported,Simple Assault,2600  Martin Luther King Jr Ave SE Washington DC,"2600, Martin Luther King Junior Avenue Southeast, Barry Farm, Washington, District of Columbia, 20020, United States",38.859156,-76.99516,20020
2012-07-01,0300-0330,2012-07-01,2012,7,12091566,3,600 B/O Florida Ave NW,Sexual Orientation,Not Reported,Simple Assault,600  Florida Ave NW Washington DC,"Rito Loco, 600, Florida Avenue Northwest, Shaw, Common Good Farm, Washington, District of Columbia, 20001, United States",38.915408,-77.020389,20060
2012-07-01,2250,2012-07-01,2012,7,12091731,3,2200 B/O BLK of 18th St NW,Sexual Orientation,Not Reported,Simple Assault,2200   18th St NW Washington DC,"2200, 18th Street Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.9189125,-77.0418303,20009
2012-06-30,0837-0840,2012-07-03,2012,7,12092554,6,1900 B/O Minnesota Ave Ave SE,Gender Identity/Expression,Not Reported,Simple Assault,1900  Minnesota Ave Ave SE Washington DC,"1900, Minnesota Avenue Southeast, Fairlawn, Washington, District of Columbia, 20020, United States",38.870298,-76.977284,20020
2012-07-08,930,2012-07-08,2012,7,12095238,7,2000 B/O 14th St SE,Sexual Orientation,Not Reported,Damage/Defacing/Destruction of Property,2000  14th St SE Washington DC,"2000, 14th Street Southeast, Anacostia, Washington, District of Columbia, 20020, United States",38.865767,-76.985315,20020
2012-08-11,1746,2012-08-11,2012,8,12113128,1,700 B/O 6th St NW,Religion,Jewish,Threats,700  6th St NW Washington DC,"Penn Commons, 700, 6th Street Northwest, Washington, District of Columbia, 20001, United States",38.8987596,-77.0201233,20001
2012-08-15,1050,2012-08-15,2012,8,12114937,1,800 B/O G St NW,Political Affiliation,Not Reported,ADW,800  G St NW Washington DC,"800, G Street Northwest, Washington, District of Columbia, 20001, United States",38.898373,-77.023087,20001
2012-08-18,1341,2012-08-18,2012,8,12116585,4,1500 B/O Spring Pl NW,Sexual Orientation,Not Reported,Threats,1500  Spring Pl NW Washington DC,"1500, Spring Place Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.93692465014416,-77.03445818081657,20010
2012-08-18,1745,2012-08-18,2012,8,12116716,5,1100 B/O 1st St NE,Sexual Orientation,Not Reported,Threats,1100  1st St NE Washington DC,"1100, 1st Street Northeast, NoMa, Near Northeast, Washington, District of Columbia, 20002, United States",38.9040127,-77.00653279348728,20002
2012-08-19,2130-2135,2012-08-19,2012,8,12117324,6,1800 B/O BLK of Minnesota Ave SE,Gender Identity/Expression,Not Reported,ADW,1800   Minnesota Ave SE Washington DC,"1800, Minnesota Avenue Southeast, Fairlawn, Washington, District of Columbia, 20020, United States",38.8697141,-76.9786631,20020
2012-08-23,241,2012-08-23,2012,8,12118951,7,3300 B/O blk Martin Luther King Jr Ave,Sexual Orientation,Not Reported,Simple Assault,3300 Martin Luther King Jr Ave SE Washington DC,"3300, Martin Luther King Junior Avenue Southeast, Congress Heights, Washington, District of Columbia, 20032, United States",38.842673,-77.001369,20032
2012-08-23,1656,2012-08-23,2012,8,12119254,3,600 B/O blk of Rhode Island Ave NW,Sexual Orientation,Not Reported,Simple Assault,600   Rhode Island Ave NW Washington DC,"600, Rhode Island Avenue Northwest, Washington, District of Columbia, 20002, United States",38.9204915,-76.9979685,20002
2012-08-25,1957,2012-08-25,2012,8,12120395,3,2100 B/O 18th St NW,Religion,Jewish,Simple Assault,2100  18th St NW Washington DC,"2100, 18th Street Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.9179498,-77.0419158,20009
2012-08-25,2353,2012-08-25,2012,8,12120516,7,4700 B/O blk of South Capitol St SE,Sexual Orientation,Not Reported,ADW,4700   South Capitol St SE Washington DC,"4700, South Capitol Street Southeast, Washington Highlands, Washington, District of Columbia, 20032, United States",38.82194,-77.001997,20032
2012-08-29,0010-0031,2012-08-29,2012,8,12121983,2,1300 B/O blk of 23rd St NW,Sexual Orientation,Not Reported,Robbery,1300   23rd St NW Washington DC,"1300, 23rd Street Northwest, West End, Dupont Circle, Washington, District of Columbia, 20037, United States",38.907369,-77.050204,20037
2012-08-31,2353,2012-08-31,2012,8,12123570,6,1900 B/O blk of Minnesota Ave SE,Sexual Orientation,Not Reported,Robbery,1900   Minnesota Ave SE Washington DC,"1900, Minnesota Avenue Southeast, Fairlawn, Washington, District of Columbia, 20020, United States",38.870298,-76.977284,20020
2012-09-02,1411,2012-09-02,2012,9,12124273,3,3100 B/O 14th St NW,Religion,Other/Unknown Religion,Robbery,3100  14th St NW Washington DC,"Letena, 3100, 14th Street Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.9303999,-77.0335651,20010
2012-09-11,207,2012-09-11,2012,9,12128457,3,2200 B/O 14th St NW,Sexual Orientation,Not Reported,Simple Assault,2200  14th St NW Washington DC,"2200, 14th Street Northwest, Cardozo/Shaw, Washington, District of Columbia, 20009, United States",38.919309,-77.032052,20009
2012-09-18,1802,2012-09-18,2012,9,12132265,3,900 B/O R St NW,Sexual Orientation,Not Reported,ADW,900  R St NW Washington DC,"900, R Street Northwest, Logan Circle/Shaw, Washington, District of Columbia, 20001, United States",38.912524,-77.024123,20005
2012-10-05,0800-1947,2012-10-05,2012,10,12141095,4,3500 B/O Warder St NW,Sexual Orientation,Not Reported,Damage/Defacing/Destruction of Property,3500  Warder St NW Washington DC,"3500, Warder Street Northwest, Park View, Washington, District of Columbia, 20010, United States",38.932639,-77.020551,20010
2012-10-07,509,2012-10-07,2012,10,12141860,3,200 B/O W St NW,Sexual Orientation,Not Reported,ADW,200  W St NW Washington DC,"200, W Street Northwest, Common Good Farm, Washington, District of Columbia, 20001, United States",38.919567,-77.014943,20001
2012-10-12,1800-0820,2012-10-12,2012,10,12146636,2,1800 B/O M St NW,Religion,Jewish,Damage/Defacing/Destruction of Property,1800  M St NW Washington DC,"Capital One, 1800, M Street Northwest, Golden Triangle, Washington, District of Columbia, 20036, United States",38.905422,-77.0422081,20036
2012-10-20,2258,2012-10-20,2012,10,12148536,6,600 B/O Division Ave NE,Gender Identity/Expression,Not Reported,Simple Assault,600  Division Ave NE Washington DC,"600, Division Avenue Northeast, Lincoln Heights, Northeast Boundary, Washington, District of Columbia, 20019, United States",38.897311,-76.926146,20019
2012-10-25,1800-1151 ,2012-10-26,2012,10,12151408,2,1800 B/O K St NW,Religion,Jewish,Damage/Defacing/Destruction of Property,1800  K St NW Washington DC,"Wells Fargo, 1800, K Street Northwest, Golden Triangle, Washington, District of Columbia, 20006, United States",38.9022302,-77.0420875,20006
2012-10-27,412,2012-10-27,2012,10,12151904,4,1400 B/O Meridian Pl ,Race,Unspecified,Robbery,1400  Meridian Pl  Washington DC,"Karibbean Kitchen, 1400, Meridian Place Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.9334087,-77.0329604,20010
2012-10-30,1230,2012-10-30,2012,10,12153620,7,2700 B/O Martin Luther King Jr Ave SE,Sexual Orientation,Not Reported,Simple Assault,2700  Martin Luther King Jr Ave SE Washington DC,"2700, Martin Luther King Junior Avenue Southeast, Barry Farm, Washington, District of Columbia, 20032, United States",38.854952,-76.995941,20020
2012-10-31,2339,2012-10-31,2012,10,12153835,3,2800 B/O Georgia Ave NW,Sexual Orientation,Not Reported,Threats,2800  Georgia Ave NW Washington DC,"2800, Georgia Avenue Northwest, Pleasant Plains, Washington, District of Columbia, 20059, United States",38.9262032,-77.0230452,20059
2012-11-05,1954,2012-11-05,2012,11,12156229,5,600 B/O Edgewood St NE,Sexual Orientation,Not Reported,Simple Assault,600  Edgewood St NE Washington DC,"600, Edgewood Street Northeast, Edgewood, Washington, District of Columbia, 20017, United States",38.924625,-76.997293,20017
2012-11-19,1452,2012-11-19,2012,11,12162862,2,1400 B/O K St NW,Race,Black,Simple Assault,1400  K St NW Washington DC,"PNC Bank, 1400, K Street Northwest (access road), Downtown, Washington, District of Columbia, 20071, United States",38.902167,-77.0324088,20071
2012-12-07,1900,2012-12-08,2012,12,12171834,3,1900 B/O 4th ST NW,Race,Black,Damage/Defacing/Destruction of Property,1900  4th ST NW Washington DC,"1900, 4th Street Northwest, Le Droit Park, Common Good Farm, Washington, District of Columbia, 20001, United States",38.916021,-77.017454,20001
2012-12-12,1746,2012-12-12,2012,12,12173827,4,1300 B/O Missouri Ave NW,Sexual Orientation,Not Reported,Robbery,1300  Missouri Ave NW Washington DC,"1300, Missouri Avenue Northwest, 16th Street Heights, Washington, District of Columbia, 20011, United States",38.9615294271761,-77.03267564425917,20011
2012-12-22,235,2012-12-22,2012,12,12178573,4,4200 B/O 3rd St NW,Sexual Orientation,Not Reported,Simple Assault,4200  3rd St NW Washington DC,"4200, 3rd Street Northwest, Petworth, Washington, District of Columbia, 20011, United States",38.942285,-77.015516,20011
2013-01-02,1324,2013-01-02,2013,1,13000464,2,3800 B/O Legation St NW,Religion,Jewish,Damage/Defacing/Destruction of Property,3800  Legation St NW Washington DC,"3800, Legation Street Northwest, Chevy Chase, American University Park, Washington, District of Columbia, 20015, United States",38.961994,-77.074083,20015
2013-01-02,1600-0915,2013-01-03,2013,1,13000847,2,5300 B/O Nebraska Ave NW,Religion,Jewish,Damage/Defacing/Destruction of Property,5300  Nebraska Ave NW Washington DC,"5300, Nebraska Avenue Northwest, Chevy Chase, Washington, District of Columbia, 20015, United States",38.959134,-77.067886,20016
2013-01-05,1952,2013-01-05,2013,1,13001980,6,5000 B/O G St SE,Gender Identity/Expression,Not Reported,ADW,5000  G St SE Washington DC,"5000, G Street Southeast, Marshall Heights, Washington, District of Columbia, 20019, United States",38.88122845409017,-76.93169222466408,20019
2013-01-12,1500,2013-01-12,2013,1,13005159,3,3100 B/O 14th St NW,Sexual Orientation,Not Reported,Simple Assault,3100  14th St NW Washington DC,"Letena, 3100, 14th Street Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.9303999,-77.0335651,20010
2013-01-13,214,2013-01-13,2013,1,13005426,3,1300 B/O U St NW,Sexual Orientation,Not Reported,Simple Assault,1300  U St NW Washington DC,"U Street Northwest, Cardozo/Shaw, Washington, District of Columbia, 20060, United States",38.9170073,-77.0281836,20009
2013-02-05,2200,2013-02-07,2013,2,13016960,4,600 B/O Tewkesbury Pl NW,Religion,Jewish,Damage/Defacing/Destruction of Property,600  Tewkesbury Pl NW Washington DC,"600, Tewkesbury Place Northwest, Brightwood, Washington, District of Columbia, 20012, United States",38.967853,-77.021318,20012
2013-02-09,1400-1405,2013-02-09,2013,2,13017988,3,800 B/O Mt Vernon Pl NW,Sexual Orientation,Not Reported,Simple Assault,800  Mt Vernon Pl NW Washington DC,"800, Mount Vernon Place Northwest, Washington, District of Columbia, 20001, United States",38.902863,-77.023021,20001
2013-02-22,1440-1448,2013-02-22,2013,2,13024055,7,3800 B/O South Capitol St SE,Gender Identity/Expression,Not Reported,ADW,3800  South Capitol St SE Washington DC,"3800, South Capitol Street Southeast, Washington, District of Columbia, 20032, United States",38.835545,-77.007684,20032
2013-02-25,1600-1605,2013-02-25,2013,2,13025037,7,3100 B/O Naylor Rd SE,Sexual Orientation,Not Reported,Robbery,3100  Naylor Rd SE Washington DC,"3100, Naylor Road Southeast, Buena Vista, Washington, District of Columbia, 20020, United States",38.85321943323138,-76.96399134263955,20020
2013-02-27,0020-0022,2013-02-27,2013,2,13025678,5,2100 B/O Queens Chapel Rd NE,Race,White,Threats,2100  Queens Chapel Rd NE Washington DC,"2100, Queens Chapel Road Northeast, Langdon, Washington, District of Columbia, 20018, United States",38.919538619223566,-76.97280633277009,20018
2013-03-03,0159-0200,2013-03-03,2013,3,13027781,3,1400 B/O U St NW,Sexual Orientation,Not Reported,Simple Assault,1400  U St NW Washington DC,"1400, U Street Northwest, Greater U Street Historic District, Dupont Circle, Washington, District of Columbia, 20009, United States",38.916915,-77.032106,20009
2013-03-11,2034,2013-03-11,2013,3,13031810,3,1700 B/O Columbia Rd NW,Sexual Orientation,Not Reported,Threats,1700  Columbia Rd NW Washington DC,"Ontario 17, 1700, Columbia Road Northwest, Washington, District of Columbia, 20009, United States",38.92458325,-77.03931988363308,20009
2013-03-12,1400,2013-03-12,2013,3,13032136,6,2800 B/O Texas Ave SE Apt B5,Sexual Orientation,Not Reported,Threats,2800  Texas Ave SE  Washington DC,"2800, Texas Avenue Southeast, Randle Highlands, Washington, District of Columbia, 20020, United States",38.867738,-76.967614,20020
2013-03-14,2249-2250,2013-03-14,2013,3,13033386,3,1900 B/O 3rd St NW,Sexual Orientation,Not Reported,Simple Assault,1900  3rd St NW Washington DC,"1900, 3rd Street Northwest, Le Droit Park, Common Good Farm, Washington, District of Columbia, 20001, United States",38.91622,-77.015878,20001
2013-03-20,1737,2013-03-20,2013,3,13036237,1,800 B/O blk of H St NE,Gender Identity/Expression,Not Reported,Simple Assault,800   H St NE Washington DC,"PNC Bank, 800, H Street Northeast, Near Northeast, Washington, District of Columbia, 20002, United States",38.9004062,-76.9947534,20002
2013-04-06,124,2013-04-06,2013,4,13044090,3,1700 B/O Columbia Rd NW,Race,Asian,Simple Assault,1700  Columbia Rd NW Washington DC,"Ontario 17, 1700, Columbia Road Northwest, Washington, District of Columbia, 20009, United States",38.92458325,-77.03931988363308,20009
2013-04-10,1904,2013-04-10,2013,4,13046481,6,4400 B/O Texas Ave SE,Ethnicity/National Origin,Latino/Hispanic,ADW,4400  Texas Ave SE Washington DC,"4400, Texas Avenue Southeast, Benning Ridge, Washington, District of Columbia, 20019, United States",38.884174,-76.9417184,20019
2013-04-25,5300,2013-04-25,2013,4,13053916,3,1300 B/O 14th St NW,Sexual Orientation,Not Reported,Robbery,1300  14th St NW Washington DC,"1300, 14th Street Northwest, Logan Circle/Shaw, Washington, District of Columbia, 20005, United States",38.907851,-77.032052,20005
2013-05-11,1701-1711,2013-05-11,2013,5,13062765,1,1300 B/O Potomac Ave SE,Race,White,Simple Assault,1300  Potomac Ave SE Washington DC,"1300, Potomac Avenue Southeast, Southeast, Washington, District of Columbia, 20003, United States",38.879666,-76.987361,20003
2013-05-12,1800-1900,2013-05-14,2013,5,13064348,5,1600 B/O Maryland Ave NE,Sexual Orientation,Not Reported,Simple Assault,1600  Maryland Ave NE Washington DC,"1600, Maryland Avenue Northeast, Carver, Washington, District of Columbia, 20002, United States",38.901294,-76.980785,20002
2013-05-21,0115-0118,2013-05-21,2013,5,13067771,5,500 B/O 17th St NE,Race,White,Simple Assault,500  17th St NE Washington DC,"500, 17th Street Northeast, Kingman Park, Washington, District of Columbia, 20002, United States",38.8965164,-76.98059976472098,20002
2013-06-01,215,2013-06-01,2013,6,13073757,3,1800 B/O New Hampshire Ave NW,Sexual Orientation,Not Reported,Robbery,1800  New Hampshire Ave NW Washington DC,"1800, New Hampshire Avenue Northwest, Dupont Circle, Washington, District of Columbia, 20009, United States",38.91424,-77.039263,20009
2013-06-04,1800,2013-06-04,2013,6,13075701,6,1300 B/O 49th St NE,Sexual Orientation,Not Reported,Simple Assault,1300  49th St NE Washington DC,"1300, 49th Street Northeast, Deanwood, Washington, District of Columbia, 20019, United States",38.9082246,-76.9320026,20019
2013-06-07,1957,2013-06-07,2013,6,13077377,6,5200 B/O Cloud Pl NE,Race,White,Threats,5200  Cloud Pl NE Washington DC,"5200, Cloud Place Northeast, Grant Park, Washington, District of Columbia, 20019, United States",38.894548,-76.926869,20019
2013-06-11,1250-1255,2013-06-11,2013,6,13079198,7,3400 B/O 4th St SE,Sexual Orientation,Not Reported,Simple Assault,3400  4th St SE Washington DC,"3400, 4th Street Southeast, Congress Heights, Washington, District of Columbia, 20032, United States",38.840269,-77.000465,20032
2013-06-11,1433-1440,2013-06-11,2013,6,13079270,1,Unit B/O Massachusetts Ave NW,Race,Black,Threats,  Massachusetts Ave NW Washington DC,"Massachusetts Avenue Northwest, Dupont Circle, Washington, District of Columbia, 20036-5305, United States",38.9107152,-77.0465155,20036
2013-06-13,1825-1830,2013-06-13,2013,6,13080496,7,3800 B/O 1st St SE,Sexual Orientation,Not Reported,Simple Assault,3800  1st St SE Washington DC,"3800, 1st Street Southeast, Congress Heights, Washington, District of Columbia, 20032, United States",38.83426102003487,-77.00577652831011,20032
2013-06-14,2123-2124,2013-06-14,2013,6,13081164,1,500 B/O Massachusetts Ave NW,Sexual Orientation,Not Reported,Simple Assault,500  Massachusetts Ave NW Washington DC,"500, Massachusetts Avenue Northwest, Mount Vernon Square, Washington, District of Columbia, 20001, United States",38.901293,-77.019664,20001
2013-06-20,1841-1855,2013-06-20,2013,6,13084477,5,1500 B/O Tinidad Ave NE,Race,White,Threats,1500  Trinidad Ave NE Washington DC,"1500, Trinidad Avenue Northeast, Ivy City, Washington, District of Columbia, 20002, United States",38.90547818210563,-76.98479317069842,20002
2013-06-24,2100,2013-06-24,2013,6,13086807,3,1800 B/O 14th St NW,Gender Identity/Expression,Not Reported,Simple Assault,1800  14th St NW Washington DC,"1800, 14th Street Northwest, Cardozo/Shaw, Washington, District of Columbia, 20009, United States",38.914217,-77.032054,20009
2013-06-26,0345-0355,2013-06-26,2013,6,13087517,6,400 B/O Eastern Ave NE,Gender Identity/Expression,Not Reported,Robbery,400  Eastern Ave NE Washington DC,"400, Eastern Avenue Northeast, Northeast Boundary, Washington, Prince George's County, District of Columbia, 20019, United States",38.8948266,-76.9121998,20019
2013-06-27,0535-0536,2013-06-27,2013,6,13088119,6,500 B/O Eastern Ave NE,Gender Identity/Expression,Not Reported,ADW,500  Eastern Ave NE Washington DC,"500, Eastern Avenue Northeast, Northeast Boundary, Washington, Prince George's County, District of Columbia, 20019, United States",38.896045,-76.913598,20743
2013-07-03,2030-2040,2013-07-03,2013,7,13093081,7,2300 B/O Good Hope Rd SE,Sexual Orientation,Not Reported,ADW,2300  Good Hope Rd SE Washington DC,"2300, Good Hope Road Southeast, Skyland, Washington, District of Columbia, 20020, United States",38.8645478,-76.9741515,20020
2013-07-07,1810-1200,2013-07-08,2013,7,13095740,1,400 B/O K St NW,Race,Black,Threats,400  K St NW Washington DC,"400, K Street Northwest, Mount Vernon Square, Washington, District of Columbia, 20001, United States",38.902438,-77.016332,20001
2013-07-09,1345,2013-07-09,2013,7,13095260,2,1300 B/O H St NW,Race,Multiple,Threats,1300  H St NW Washington DC,"1300, H Street Northwest, Downtown, Washington, District of Columbia, 20001, United States",38.899731,-77.029792,20005
2013-07-14,219,2013-07-14,2013,7,13097871,3,1300 B/O blk of U Stre NW,Race,White,Simple Assault,1300   U Street NW Washington DC,"U Street Northwest, Cardozo/Shaw, Washington, District of Columbia, 20060, United States",38.9170073,-77.0281836,20009
2013-07-14,248,2013-07-14,2013,7,13097888,3,2300 B/O Champlain St NW,Race,Black,Simple Assault,2300  Champlain St NW Washington DC,"2300, Champlain Street Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.9202109,-77.04104964166666,20009
